Date,Transaction_ID,Amount,Currency
2023-01-01,T00000,701.88,AUD
2023-01-02,T00001,349.04,AUD
2023-01-03,T00002,571.83,GBP
2023-01-04,T00003,156.11,EUR
2023-01-05,T00004,829.88,USD
2023-01-06,T00005,340.86,USD
2023-01-07,T00006,264.25,EUR
2023-01-08,T00007,274.12,AUD
2023-01-09,T00008,965.71,GBP
2023-01-10,T00009,168.78,AUD
2023-01-11,T00010,783.68,EUR
2023-01-12,T00011,534.17,EUR
2023-01-13,T00012,575.15,AUD
2023-01-14,T00013,714.11,AUD
2023-01-15,T00014,314.09,AUD
2023-01-16,T00015,450.7,AUD
2023-01-17,T00016,998.0,AUD
2023-01-18,T00017,547.92,EUR
2023-01-19,T00018,963.98,EUR
2023-01-20,T00019,169.74,AUD
2023-01-21,T00020,256.19,USD
2023-01-22,T00021,313.38,JPY
2023-01-23,T00022,198.83,USD
2023-01-24,T00023,657.35,AUD
2023-01-25,T00024,764.58,JPY
2023-01-26,T00025,181.05,EUR
2023-01-27,T00026,319.3,GBP
2023-01-28,T00027,267.57,USD
2023-01-29,T00028,447.86,AUD
2023-01-30,T00029,841.24,AUD
2023-01-31,T00030,424.91,EUR
2023-02-01,T00031,559.82,USD
2023-02-02,T00032,755.64,GBP
2023-02-03,T00033,898.7,USD
2023-02-04,T00034,631.56,USD
2023-02-05,T00035,315.55,GBP
2023-02-06,T00036,963.95,JPY
2023-02-07,T00037,943.85,JPY
2023-02-08,T00038,437.42,EUR
2023-02-09,T00039,222.21,GBP
2023-02-10,T00040,867.51,JPY
2023-02-11,T00041,475.31,EUR
2023-02-12,T00042,742.17,GBP
2023-02-13,T00043,671.79,AUD
2023-02-14,T00044,924.84,JPY
2023-02-15,T00045,787.83,GBP
2023-02-16,T00046,508.15,AUD
2023-02-17,T00047,606.12,GBP
2023-02-18,T00048,843.61,EUR
2023-02-19,T00049,106.52,GBP
2023-02-20,T00050,804.32,USD
2023-02-21,T00051,763.47,JPY
2023-02-22,T00052,654.92,AUD
2023-02-23,T00053,355.48,GBP
2023-02-24,T00054,198.55,GBP
2023-02-25,T00055,158.15,EUR
2023-02-26,T00056,665.04,EUR
2023-02-27,T00057,163.23,JPY
2023-02-28,T00058,408.86,JPY
2023-03-01,T00059,438.76,USD
2023-03-02,T00060,124.78,GBP
2023-03-03,T00061,896.58,AUD
2023-03-04,T00062,684.32,JPY
2023-03-05,T00063,156.52,AUD
2023-03-06,T00064,386.25,USD
2023-03-07,T00065,690.22,GBP
2023-03-08,T00066,732.22,EUR
2023-03-09,T00067,638.36,GBP
2023-03-10,T00068,519.51,AUD
2023-03-11,T00069,697.06,JPY
2023-03-12,T00070,721.33,AUD
2023-03-13,T00071,278.06,EUR
2023-03-14,T00072,768.76,USD
2023-03-15,T00073,326.12,AUD
2023-03-16,T00074,859.68,AUD
2023-03-17,T00075,618.13,GBP
2023-03-18,T00076,279.82,GBP
2023-03-19,T00077,797.08,AUD
2023-03-20,T00078,477.81,EUR
2023-03-21,T00079,306.07,GBP
2023-03-22,T00080,322.82,EUR
2023-03-23,T00081,195.63,JPY
2023-03-24,T00082,509.86,USD
2023-03-25,T00083,356.44,EUR
2023-03-26,T00084,591.65,GBP
2023-03-27,T00085,678.43,EUR
2023-03-28,T00086,945.58,EUR
2023-03-29,T00087,776.01,USD
2023-03-30,T00088,825.38,USD
2023-03-31,T00089,152.81,GBP
2023-04-01,T00090,607.34,GBP
2023-04-02,T00091,885.18,JPY
2023-04-03,T00092,769.96,JPY
2023-04-04,T00093,391.92,EUR
2023-04-05,T00094,320.19,AUD
2023-04-06,T00095,345.07,USD
2023-04-07,T00096,598.87,EUR
2023-04-08,T00097,612.16,AUD
2023-04-09,T00098,653.37,JPY
2023-04-10,T00099,792.63,EUR
